date,LineItem,quantity,price,discounts,netTotal,purchaseNumber,daysSinceLastPurch,quantity_364,price_364,discounts_364,netTotal_364,quantity_28,price_28,discounts_28,netTotal_28,quantity_7,price_7,discounts_7,netTotal_7
2018-01-08,Fountain Drink,19,2,0,38,2.5,50066.9375,31,2,0,61,19,2,0,38,0,0,0,0
2018-01-08,Lamb and Veggie Kabob,6,8,0,57,10.6,40011,7,8,0,59,4,8,0,39,0,0,0,0
2018-01-08,Lamb Chops,5,26,0,132,2.2,60275.2,13,8,0,103,12,12,0,149,0,0,0,0
2018-01-08,Naan,12,2,0,42,2.909090909090909,63758.818181818184,8,2,0,18,16,2,0,38,0,0,0,0
2018-01-08,Rice,17,2,0,55,2.6875,68866.625,9,2,0,18,10,2,0,19,0,0,0,0
2018-01-08,Salmon and Wheat Bran Salad,61,14,0,842,4.55,56742.6,69,12,0,833,72,15,0,1062,0,0,0,0
2018-01-08,Yogurt,26,3,0,134,2.3333333333333335,62556.208333333336,27,3,0,90,30,3,0,109,0,0,0,0
2018-01-09,Aubergine and Chickpea Vindaloo,6,4,0,21,1,99999,4,4,0,14,8,4,0,28,10,4,0,32
2018-01-09,Beef and Apple Burgers,24,15,2,309,2.125,75076,19,14,0,254,16,17,1,254,28,13,0,367
2018-01-09,Beef and Broccoli,11,6,1,62,1.8181818181818181,72742.27272727272,13,8,0,102,13,6,0,84,13,7,0,92
2018-01-09,Beef and Broccoli Stir Fry,9,10,0,92,1.4444444444444444,88890.66666666667,6,10,4,39,5,10,0,50,8,10,0,77
2018-01-09,Beef and Squash Kabob,20,7,1,142,1.35,80072.35,22,7,0,188,32,7,0,270,18,7,1,149
2018-01-09,Chicken and Onion Kabob,25,10,1,261,4.833333333333333,54200.791666666664,41,10,1,439,46,10,0,509,31,10,0,341
2018-01-09,Chutney,16,2,0,32,2.5384615384615383,76943.61538461539,14,2,0,26,11,2,0,32,12,2,0,26
2018-01-09,Fountain Drink,31,2,0,58,2.962962962962963,63020.2962962963,16,2,0,31,37,2,0,74,28,2,0,56
2018-01-09,Lamb and Veggie Kabob,6,8,1,48,8.166666666666666,66670.33333333333,11,8,3,69,13,8,2,95,8,8,1,75
